EventNum,Event,,,,,,,,,
0,GetS,,,,,,,,,
1,GetM,,,,,,,,,
2,Replacement,,,,,,,,,
3,PutM_fromOwner,,,,,,,,,
4,PutM_fromNonOwner,,,,,,,,,
5,Data_fromLowerInterface,,,,,,,,,
6,Data_fromUpperInterface,,,,,,,,,
7,Own_Invalidation,,,,,,,,,
,,,,,,,,,,
ActionNum,Action,,,,,,,,,
0,Stall,,,,,,,,,
1,GetData,,,,,,,,,
2,SendData,,,,,,,,,
3,SaveData,,,,,,,,,
4,SetOwner,,,,,,,,,
5,ClearOwner,,,,,,,,,
6,IssueInv,,,,,,,,,
7,WriteBack,,,,,,,,,
8,Fault,,,,,,,,,
9,SendExeclusiveData,,,,,,,,,
,,,,,,,,,,
StateNum,State,,,,,,,,,
0,N,,,,,,,,,
1,NE_d,,,,,,,,,
2,NM_d,,,,,,,,,
3,I,,,,,,,,,
4,S,,,,,,,,,
5,EorM,,,,,,,,,
6,IorS_a,,,,,,,,,
7,MN_d,,,,,,,,,
8,S_d,,,,,,,,,
9,I_d,,,,,,,,,
10,N_a,,,,,,,,,
,,,,,,,,,,
State,stable,isDataValid,GetS,GetM,Replacement,PutM_fromOwner,PutM_fromNonOwner,Data_fromLowerInterface,Data_fromUpperInterface,Own_Invalidation
N,1,0,GetData/SetOwner/NE_d,GetData/SetOwner/NM_d,,Fault/,Fault/,Fault/,Fault/,SaveData/N
NE_d,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,SendExeclusiveData/EorM,Fault/
NM_d,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,SendData/EorM,Fault/
I,1,1,SendExeclusiveData/SetOwner/EorM,SendData/SetOwner/EorM,IssueInv/,Fault/,,Fault/,Fault/,WriteBack/N
S,1,1,SendData/,SendData/SetOwner/EorM,IssueInv/,Fault/,,Fault/,Fault/,WriteBack/N
EorM,1,1,ClearOwner/S_d,SetOwner/,IssueInv/,ClearOwner/I_d,,SaveData/IorS_a,Fault/,ClearOwner/MN_d
IorS_a,0,1,ClearOwner/S,Stall/,Stall/,ClearOwner/I,,Fault/,Fault/,WriteBack/N_a
MN_d,0,1,Stall/,Stall/,Stall/,Fault/,,WriteBack/N,Fault/,SaveData/MN_d
S_d,0,1,Stall/,Stall/,Stall/,Fault/,,SaveData/S,Fault/,MN_d
I_d,0,1,Stall/,Stall/,Stall/,Fault/,,SaveData/I,Fault/,MN_d
N_a,0,1,ClearOwner/N,Stall/,Stall/,ClearOwner/N,,Fault/,Fault/,Fault/
